AmountSaved,المبلغ المدخر
SearchKeyInItem,ابحث عن رمز الغرض أو أدخله
SelectCashBack,اختر مبلغ الباقي
SelectLanguage,اختر اللغة
SelectPaymentType,اختر نوع الدفع
SellBags,كم عدد الأكياس البلاستيكية التي استخدمتها؟ أدخل 0 إن كنت لم تستخدم أي كيس.
SignNeeded,التوقيع مطلوب
SignSignature,وقّع لوحة التوقيع.
SkipBagging,تخطّى التعبئة بالأكياس
Space,مسافة
StartScanning,ابدأ بالمسح
StoreLogin,تسجيل الدخول في المتجر
TakeCash,خذ نقودك المردودة
TakeChange,خذ الباقي
TakeReceipt,خذ الوصل
Tax,الضريبة
TimeRestrictedItem,سلع محدودة بقيود زمنية
Total,المجموع
TouchCancel,المس إلغاء في لوحة تعريف الرقم الشخصي.
TryAgain,حاول مرة أخرى
UnexpectedDecreaseMessage,إرجاع الغرض إلى منطقة الأكياس.
UnexpectedIncreaseMessage,إزالة الغرض من منطقة الأكياس.
UsePinpad,استخدم لوحة تعريف الرقم الشخصي
VoidItem,"امسح السلع غير المرغوبة أو انقر ""إزالة"" على الوصل."
Volume,الحجم
Yes,نعم
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,سعر السلعة غير معروف.\nالمساعدة في الطريق.\n\nضع الغرض جانباً وتابِع.
SetAllItemsAsideMessage,تم إلغاء عملية الشراء كلها.\n\nضع جميع السلع جانبا.
ConfirmAbortMessage,هل تؤكد رغبتك في إفراغ العربة؟ المُعاملة ستُلغى.
NoKeep,كلا، احفظها.
NoReturn,كلا، العودة إلى المعاملة.
YesEmpty,نعم، إفراغ العربة وإنهاء المعاملة.
YesRemove,نعم، إزالة.
HostOfflineMessage,الممر خارج الاتصال ويحاول النظام إعادة الاتصال.
LaneClosedMessage,الممر مغلق
LoadingText,التحميل جار
VerifyBagsMessage,إذا وضعتَ بالخطأ شيئاً آخر عدا الكيس في منطقة الأكياس فيرجى إزالته الآن.
HelpOnWay,المساعدة قادمة، يرجى الانتظار.
OwnBagMessage,لُطفاً، ضع أكياسك على الميزان.
UseOwnBag,أستخدم كيسي الخاص
AttendantMode,نمط المُلاحِظ
AttendantTrainingMode,نمط المُلاحِظ والتدريب
TrainingMode,نمط التدريب
ScaleBroken,"أزل السلعة عن الميزان واضغط على زر ""تصفير الميزان"" على الماسحة الضوئية."
Refunded,تم رد:
EnterIDMessage,"اطبع هوية المستخدم والمس ""إدخال"""
EnterIDText,أدخل الهوية
EnterPasswordMessage,"اطبع كلمة المرور والمس ""إدخال"""
EnterPasswordText,أدخل كلمة المرور
VisualVerify,تحقق بصري
SingleItemAddedFormat,{0} غرض يُراد إضافته إلى العربة.
Approved,مقبول
VoidItemBeforeCouponMessage,ألغ قسيمة السلعة أولا. ا يمكن إلغاء السلعة حتى يتم إلغاء قسيمتها.
VerifyBags,سيتحقق المُلاحظ من أكياسك.
CancelItems,إلغاء السلع
EnterQuantityTitle,الكمية المطلوبة
SecUnExpectedIncreaseTitle,التنبيه على التعبئة في أكياس
WeightMismatchTitle,المساعدة مطلوبة
AssistanceNeededTitle,المساعدة مطلوبة
CheckBasketTitle,افحص السلة
ConfirmDebitAmountTitle,تأكيد المبلغ
DropoffCouponsTitle,إسقاط القسائم.
InsufficientBalanceTitle,رصيد غير كاف
OperatorPasswordStateInvalidPasswordWithFPTitle,فشل في تسجيل الدخول ببصمة الإصبع
PurchaseCrateTitle,صندوق شراء
RestrictedItemTitle,سلعة خاضعة لقيود
SecBagAreaBackupTitle,سلع متراكمة
SignChargeTitle,التوقيع على الوصل
TakeCardTitle,خذ البطاقة
ContinueTitle,هل تريد المتابعة؟
ApprovalNeededTitle,الموافقة مطلوبة
IncorrectLoginTitle,رقم غير صحيح
RecalledItemTitle,سلعة مستردة
RemovedItemTitle,التنبيه على التعبئة في أكياس
SetAllItemsAsideTitle,وضع السلع جانبا
TakeLoyaltyCardTitle,خذ بطاقة الولاء
UnknownPriceTitle,السعر غير معروف
ConfirmEBTAmountTitle,تأكيد المبلغ
DisconnectedTitle,تمّ فصل التطبيق
ShuttingDown,جارٍ إغلاق النظام
NoneText,لا شيء 
SMText,وضعية المتجر
SMLogInReceiptText,تسجيل الدخول إلى وضعية المتجر
SMLogOutReceiptText,تسجيل الخروج من وضعية المتجر
WLDBOffLineText,قاعدة بيانات الأوزان: غير متصلة
OperatorIDText,هوية المشغل: 
SignOnButtonText,تسجيل الدخول
SignOffButtonText,تسجيل الخروج
AlertText,التنبيهات:
SuspendInProgressText,يجري التعليق
SuspendLeadthru1,تم تقديم طلب لتعليق العملية الحالية.  نرجو تأكيد أو إلغاء هذا الطلب.
SuspendLeadthru2,"لقد علقت العملية الحالية.  نرجو تأكيد هذا الطلب.  لإلغائه، المس ""العودة"" وألغ الطلب من جهاز NCR SelfServ Checkout."
ReceiptText,الوصل:
SuspendReasonText1,تعليق: عام
CancelSuspendButtonText,إلغاء التعليق
ConfirmSuspendNowButtonText,تأكيد التعليق \nالآن
ConfirmAllowSuspendButtonText,تأكيد السماح \nبالتعليق
ConfirmSuspendRequestButtonText,تأكيد طلب \nالتعليق
CancelSuspendNowButtonText,إلغاء التعليق \nالآن
GoBackButtonText,العودة
CancelSuspendRequestButtonText,إلغاء طلب \nالتعليق
CouponText,القسائم:
SuspendReasonText2,تعليق: القسائم
CouponReceiptText,%d قسائم مجموعها $%.2f
SuspendNowButtonText,التعليق الآن
RequestSuspendButtonText,طلب تعليق
NotConnectedText,غير متصل.
ConnectingText,يجري الاتصال... نرجو الانتظار
ApprovalNeededText,الموافقة مطلوبة:
SuspendReasonText3,تعليق: غير ذلك
ClearRequestButtonText,مسح الطلب
ApproveButtonText,موافقة
RestrictedItemText,سلع خاضعة لقيود:
SuspendReasonText4,تعليق: خاضعة لقيود
SecurityLogText,سجل الأمن:
SuspendReasonText5,تعليق: الأمن
SignatureText,التوقيع:
SignatureAndNameText,التوقيع: %s
ConnectingLeadthru,يجري الاتصال بـNCR SelfServ Checkout... نرجو الانتظار
EnterIDLeadthru,أدخل الهوية باستخدام لوحة المفاتيح أدناه.
EnterPasswordLeadthru,أدخل كلمة المرور باستخدام لوحة المفاتيح أدناه.
LoggingInLeadthru,يجري تسجيل الدخول... الرجاء الانتظار
ApproveSecurityButtonText,الموافقة  على الأمن
ApprovalNeededButtonText,الموافقة\n على الأمن
VerifySignatureButtonText,توثيق \nالتوقيع
AllowSuspendButtonText,إتاحة التعليق
MainButtonText,أساسي
SuspendTransactionButtonText,تعليق العملية
ApproveAndCollectButtonText,الموافقة &amp; الجمع
ClearApprovalsButtonText,مسح الموافقات
BirthDateOver30ButtonText,تاريخ الميلاد أكبر من 30
SignAgainButtonText,وقع مرة أخرى
BackSpaceButtonText,محو
EnterButtonText,إدخال
LaneNumberText,الممر: %d
RAPTitle,\nNCR SelfServ Checkoutمحطة الموافقة عن بعد
CancelSuspendText,إلغاء التعليق
OtherPaymentSelectedText,تم اختيار طريقة دفع أخرى
CouponCollectionText,جمع القسائم
PendingSuspendText,قيد التعليق
SignatureApprovalText,الموافقة على التوقيع
LaneText,الممر
VideoButtonText,Video فيديو:
ClearButtonText,مسح
QuantityButtonText,الكمية
FeesAndCustomerAgreementsTitle,الرسوم && اتفاقيات العميل:
FeesButtonText,الرسوم
CustomerAgreementButtonText,اتفاقية العميل
FeesAndCustomerAgreementsLeadthru,الرسوم & اتفاقيات العميل
TransactionSuspendedText,تم تعليق العملية
POSMessageText,رسالة نقطة البيع:
ConnectingWaitingText,نرجو الانتظار، يجري الاتصال بـNCR SelfServ Checkout...
DateOfBirthNotNeededButtonText,لا حاجة إلى التاريخ
AssistModeButtonText,وضعية المساعدة
ClearSecurityButtonText,مسح الأمان
VisualApproveButtonText,الموافقة البصرية
CheckAgeTitle,افحص عمر العميل
CouponLimitExceededTitle,تم تجاوز حد القسيمة
VerifyItemAndPriceTitle,التأكد من السلعة والسعر
UnknownItemTitle,سلعة غير معروفة ضعها جانبا
ItemNotForSaleTitle,السلعة غير معروضة للبيع
ItemQuantityExceededTitle,تم تجاوز كمية السلعة
TimeRestrictedItemTitle,سلعة محدودة بقيود زمنية
CheckAgeLeadthru,"أدخل تاريخ الميلاد %s والمس ""إدخال"""
InvalidBirthDateFormatLeadthru,شكل التاريخ الذي تم إدخاله غير صحيح\nأدخله مجددا بالشكل %s.
CouponLimitExceededLeadthru,"المس ""موافقة"" للسماح بإيداع القسيمة في الممر أو المس ""موافقة &amp; جمع"" وخذها من العميل."
VisualApproveLeadthru,"المس ""موافقة بصرية"" أو المس ""وضعية المساعدة"" لتعديل العملية."
UnknownItemLeadthru,"اجمع السلعة في الممر والمس ""مسح الأمان"" أو المس ""وضعية المساعدة"" لإتمام العملية."
ItemNotForSaleLeadthru,"اجمع السلعة من الممر والمس ""مسح أمني""."
OffLineLaneButtonText,غير متصل
ExitText,خروج    
EnterDataLaneButtonText,إدخال البيانات
AgeCheckLaneButtonText,فحص العمر
CouponLaneButtonText,القسيمة
VoidLaneButtonText,ملغاة
VerifyItemLaneButtonText,تأكد من السلعة
NotFoundLaneButtonText,لم يتم العثور عليه
NoSaleLaneButtonText,لا يوجد خصم
QuantityLaneButtonText,الكمية
HelpLaneButtonText,تعليمات
NoInterventionLeadthru,لا حاجة إلى التدخل حاليا.
OffLineLeadthru,الممر خارج الاتصال حاليا ويحاول النظام إعادة الاتصال أوتوماتيكيا.
CancelRequestButtonText,إلغاء الطلب
HelpRequestTitle,المساعدة مطلوبة
SecurityLaneButtonText,الأمان
VoidLeadthru,"خذ السلعة الملغاة والمس ""الموافقة على الملغاة""."
ApproveVoidButtonText,الموافقة على الملغاة
SecurityLeadthru,"راقب معاملة الزبون أمنيّاً والمِس ""وافق أمنيّاً""."
SecurityViolationText,اختراق أمني
OtherPaymentText,تم اختيار طريقة دفع أخرى
SuspendTransactionLeadthru,"المس ""تعليق العملية"" أو ""وضعية المساعدة"" واقبل الدفع."
EASText,ما زالت البطاقة الأمنية على السلعة نشطة
DeactivateLeadthru,"عطل السلعة أو انزع البطاقة الصلبة والمس ""مسح أمني""."
CompareSignatureTitle,مقارنة التوقيع
CompareSignatureLeadthru,"قارن التوقيع والمس ""موافقة"" أو ""وقع مجددا""."
EnterPriceLeadthru,"اطبع سعر السلعة والمس ""إدخال""."
UtilityButtonText,المرفق
ReturnToMainButtonText,العودة إلى الرئيسية
GetDiagFilesButtonText,الحصول على ملفات التشخيص
CouponApprovalLeadthru,"اقبل القسائم من العميل عند محطة القبول والمس ""موافقة""."
RebootSystemButtonText,إعادة تحميل النظام بالكامل
ShutDownSystemButtonText,إيقاف تشغيل النظام بالكامل
LaneStatusTitle,حالة الممر
LaneStatusLeadthru,اختر الوظيفة.
AgeRestrictedText,سلعة غير صالحة لجميع الأعمار؛ %2d عاما
BirthdateEnterText,تم إدخال تاريخ الميلاد:%2d/%2d/%4d، %d عاما
HelpRequestLeadthru,"المس ""إلغاء الطلب"" بعد مساعدة العميل."
TotalText,المجموع:
ItemText,السلع:
MultimediaTrainingText,تدريب على الوسائط المتعددة
VolumeControlButtonText,التحكم بارتفاع الصوت
SecurityViolationNumText,اختراقات أمنية:
ItemPurchasedText,السلعة المشتراة:
EnterPriceTitle,إدخال السعر
CancelTransactionGenericTitle,إلغاء العملية
CancelTransactionGenericLeadthru,"المس ""نعم"" لإلغاء العملية أو المس ""لا"" لاستئناف العملية."
YesButtonText,نعم
NoButtonText,لا
ConfirmSuspendTitle,تعليق:
ConfirmSuspendLeadthru,تأكيد التعليق.
ConfirmSuspendButtonText,تأكيد التعليق
IncorrectItemWeightTitle,وزن غير صحيح على الميزان الأمني.
IncorrectItemWeightLeadthru,"أزل السلعة والمس ""مسح أمني""، أو المس ""موافقة &amp; تحديث الوزن""."
ApproveUpdateButtonText,موافقة &amp; تحديث الوزن
UnexpectedIncreaseTitle,سلعة غير متوقعة على الميزان الأمني.
UnexpectedIncreaseLeadthru,"اذهب إلى الممر وأزل السلع الإضافية والمس ""مسح أمني""."
SkipBaggingBtnThresholdLeadthru,"افحص السلعة في الممر والمس ""مسح أمني""."
NewWeightItemTitle,لا يوجد سجل لوزن السلعة.
NewWeightItemLeadthru,"تأكد من وزن السلعة والمس ""موافقة &amp; تحديث الوزن"" أو المس ""موافقة/بدون تحديث""."
ApproveNoUpdateButtonText,موافقة/ بدون تحديث.
BagItemTimerExpiredTitle,وزن متوقع على الميزان الأمني.
TakeChangeTimerExpiredTitle,خذ الباقي
TakeChangeTimerExpiredBottomCaption,انتهاء مدة الموقت
PickingUpItemsTimerExpiredTitle,لم تتم إعادة السلع إلى منطقة التعبئة في الأكياس.
DeviceFailureTitle,عطل في الآلة
DeviceFailureLeadthru,اذهب إلى الممر وافحص الآلة.
WLDBFailureTitle,WLDB لا يتواصل بالشكل الصحيح.
WLDBFailureLeadthru,افحص الاتصال.
UnexpectedDecreaseTitle,تمت إزالة السلعة من منطقة التعبئة في الأكياس.
ClosedLaneTitle,اذهب إلى الممر وسجل الدخول في وضعية المتجر لفتح الممر.
ClosedLaneLeadthru,الممر مغلق
BagAreaBackupTitle,سلع متراكمة عند الحزام
BagAreaBackupLeadthru,أزل السلع المتراكمة عند الحزام.
MinimumAgeText,عاما من العمر كحد أدنى.
SafetyCoverOpenLeadthru,أزل جميع السلع عن الحزام وأغلق الغطاء الأمني.
VerifySignatureLeadthru,قارن توقيع العميل بالتوقيع على البطاقة.
AssistedTenderTitle,عطاء تلقى المساعدة من المشغل
AssistedTenderLeadthru,استخدم وضعية المساعدة لقبول الشيك من العميل.
AssistedTenderHHLeadthru,استخدم محطة الموظف الحاضر لقبول الدفع.
AssistedEndorsementLeadthru,الإقرار مطلوب. نرجو انتظار مساعدة المشغل.
StartTransactionButtonText,ابدأ المعاملة
StartTransactionTitle,وظائف بمساعدة المشغل
StartTransactionLeadthru,اختر الوظيفة المطلوبة.
StartTransactionAMButtonText,ابدأ &amp; المساعدة
ItemsForgottenTitle,الوزن المتبقي\nعلى ميزان الأكياس.
InsertCouponTimerExpiredTitle,أدخل القسيمة
CollectGiftCardTitle,خذ بطاقة الهدية
HostOfflineLeadthru,الممر خارج الاتصال ويحاول النظام إعادة الاتصال.
SpaceButtonText,مسافة
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\tالكمية %s بسعر %s/لكل وحدة\t%s
LaneReceiptItemType4,%s\t%s\tالكمية%s بسعر%s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%s بسعر %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%s بسعر %s/%s\t%s
CloseLaneButtonText,إغلاق الممر
ReportingButtonText,إعداد التقارير
KeyInCodeTitle,إدخال الرمز
KeyInCodeLeadthru,"اطبع رمز السلعة والمس ""OK""."
VoidItemButtonText,سلعة ملغاة
ChangePriceButtonText,تغير في السعر
ChangeQuantityButtonText,تغير في الكمية
ReturnToShoppingButtonText,العودة إلى وضعية التسوق
BasicAssistModeTitle,وظائف المساعد
BasicAssistModeLeadthru,امسح السلعة أو اختر الوظيفة.
ChangePriceTitle,تغير في السعر
KeyInPriceLeadthru,أدخل سعر: %d %s
VoidAllButtonText,إلغاء الكل
VoidItemTitle,سلع ملغاة
VoidItemLeadthru,"امسح أو مرر إلى السلعة على الوصل والمس ""سلعة ملغاة"" أو ""إلغاء الكل""."
ChangeQuantityTitle,تغير في الكمية
KeyInQuantityLeadthru,أدخل كمية: %s
FullAssistButtonText,مساعدة كاملة
CloseButtonText,إغلاق
UpdateItemLeadthru,"مرر إلى السلعة على الوصل والمس ""إدخال""."
OKButtonText,موافق
CouponNoMatchLeadthru,لا تطابق القسيمة أية سلعة على الوصل. لا يمكن قبول هذه القسيمة.
CouponTooHighLeadthru,المبلغ الذي أدخلته لهذه القسيمة مرتفع جدا.  لا يستطيع هذا النظام قبول هذه القسيمة.
EnterCouponValueLeadthru,"أدخل قيمة القسيمة بالسنتات والمس ""إدخال""."
ItemQuantityExceededLeadthru,لقد تجاوزت الكمية المسموح بها لهذه السلعة.  نرجو وضعها جانبا والمتابعة.
ProcessingLeadthru,يتم تنفيذ العملية...نرجو الانتظار.
VoidNoMatchLeadthru,تعذر العثور على السلعة ممسوحة.  لم يتم شراؤها بعد أو تم إلغاؤها.
ConfirmAbortLeadthru,هل تريد التوقف وإلغاء عملية الشراء كلها؟
ContinueTransLeadthru,هل تريد متابعة عملية الشراء؟
ConfirmQuantityTitle,تأكيد الكمية
ConfirmVoidTitle,تأكيد الإلغاء
CouponNoMatchTitle,قسيمة غير مطابقة
CouponTooHighTitle,القسيمة مرتفعة أكثر مما ينبغي
CrateableItemTitle,صندوق شراء
EnterCouponValueTitle,أدخل قيمة القسيمة
EnterQuantityLeadthru,"اطبع الكمية والمس ""إدخال""."
EnterWeightTitle,زن السلعة
EnterWeightLeadthru,اذهب إلى الممر وضع السلعة على الميزان.
AMItemQuantityExceededTitle,حد الكمية المسموح بها
ProcessingTitle,تجري المعالجة...
SelectContainerTitle,اختر الوعاء
SelectContainerLeadthru,"اختر الحاوية من القائمة والمس ""إدخال""."
VoidNoMatchTitle,تعذر إلغاء السلعة
ConfirmAbortTitle,إلغاء جميع السلع
ContinueTransTitle,هل تريد المتابعة؟
ScaleBrokenTitle,إعادة ضبط الميزان
ScaleBrokenLeadthru,"أزل السلعة عن الميزان واضغط على زر ""تصفير الميزان"" على الماسحة الضوئية."
UpdateNotAllowedTitle,تعذر تحديث السلعة
UpdateNotAllowedLeadthru,تغير في الكمية أو السلعة الموزونة غير مسموحة.
SmEnterBirthdateTitle,سلع خاضعة لقيود
SmEnterBirthdateLeadthru,أدخل تاريخ ميلاد العميل
SmVisualItemsTitle,التوثيق البصري
SmVisualItemsLeadthru,الموافقة على سلع التوثيق البصري
SmCouponItemsTitle,الموافقة على القسائم المستخدمة
SmCouponItemsLeadthru,فحص القسائم المستخدمة
SmRestrictedItemsTitle,سلع خاضعة لقيود
SmRestrictedItemsLeadthru,اختر الوظيفة المطلوبة.
KeyInBirthDateButtonText,أدخل التاريخ
KeyInCodeButtonText,أدخل \nلرمز
SmRunReportsTitle,إعداد تقرير عن المحتوى
PrintReportButtonText,طباعة التقرير
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,سلعة خاضعة لقيود
AM_RestrictedNotAllowedLeadthru,تم إلغاء السلعة الخاضعة للقيود - العمر غير مطابق للشروط. نرجو وضع السلعة جانبا.
TransactionCancelTitle,إلغاء العملية
TransactionCancelLeadThru,تم إلغاء العملية. أزل السلع عن \nمنضدة الفحص.
OutOfSyncNeedAssistTitle,مساعدة
OutOfSyncNeedAssistLeadthru,نقطة البيع غير متزامنة، نرجو الذهاب إلى وضعية المساعدة لإعادة المزامنة.
OutOfSyncStopTitle,إعادة التحميل
OutOfSyncStopLeadthru,خادم نقطة البيع معطل أو غير متزامن، نرجو إيقاف تشغيل الجهاز باستخدام المحول.
MultiPackItemTitle,افحص تعدد الأغلفة
MultiPackItemLeadthru,"إذا كانت السلعة متعددة الأغلفة، المس ""وضعية المساعدة"" وألغها، ثم امسح باركود الغلاف المتعدد."
CancelActionButtonText,إلغاء الإجراء
EnterIDFpLeadthru,"أدخل هوية المستخدم الخاصة بك والمس ""إدخال""، أو ضع إصبعك على قارئ يصمة الإصبع لتسجيل الدخول.</String>"
ReEnterIDFpLeadthru,تسجيل دخول غير صحيح. نرجو تسجيل الدخول مجددا باستخدام لوحة المفاتيح أو بصمة الإصبع.</String>
HH_SuspendLeadthru1,هل تريد تعليق العملية الحالية؟ تأكيد أو إلغاء.
HH_SuspendLeadthru2,"تم تعليق العملية الحالية. تأكيد. للإلغاء، المس ""العودة"" وقم بالإلغاء."
HH_ReEnterIDLeadthru,هوية أو كلمة مرور غير صحيحة. نرجو إعادة الإدخال باستخدام لوحة المفاتيح.
HH_CheckAgeLeadthru,"أدخل تاريخ الميلاد %s والمس ""إدخال"""
HH_CouponLimitExceededLeadthru,"احصل على الموافقة على القسائم في الممر أو ""Approve &amp; Collect"" لأخذها من العميل."
HH_VisualApproveLeadthru,"وافق بصريا أو المس ""وضعية المساعدة"" لتعديل العملية."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"خذ السلعة، ""مسح أمني"" أو ""وضعية المساعدة"" لإتمامها."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"اجمع السلعة من الممر والمس ""مسح أمني""."
HH_NoInterventionLeadthru,لا حاجة إلى التدخل.
HH_OffLineLeadthru,الممر مفصول. يحاول النظام إعادة الاتصال.
HH_InvalidBirthDateFormatLeadthru,شكل التاريخ غير صحيح \nأدخله بشكل %s.
HH_VoidLeadthru,"خذ السلعة الملغاة والمس ""الموافقة على الملغاة""."
HH_SuspendTransactionLeadthru,"المس ""تعليق العملية"" لتعليق العملية."
HH_DeactivateLeadthru,"عطل السلعة أو انزع البطاقة الصلبة والمس ""مسح أمني""."
HH_CompareSignatureLeadthru,"قارن التوقيع والمس ""موافقة"" أو ""وقع مجددا""."
HH_EnterPriceLeadthru,"اطبع سعر السلعة والمس ""إدخال""."
HH_CouponApprovalLeadthru,"قبول القسائم من العميل و""الموافقة""."
HH_HelpRequestLeadthru,ألغ الطلب بعد مساعدة العميل.
HH_CancelTransactionGenericLeadthru,"نعم لإلغاء العملية أو ""لا"" لاستئنافها."
HH_IncorrectItemWeightLeadthru,"أزل السلعة والمس ""مسح أمني""، أو المس ""موافقة &amp; تحديث الوزن""."
HH_UnexpectedIncreaseLeadthru,"اجمع السلعة من الممر والمس ""مسح أمني""."
HH_SkipBaggingBtnThresholdLeadthru,"افحص السلعة في الممر والمس ""مسح أمني""."
HH_NewWeightItemLeadthru,"تأكد من الوزن والمس ""موافقة &amp; تحديث الوزن"" أو المس ""موافقة/بدون تحديث""."
HH_SafetyCoverOpenLeadthru,أزل جميع السلع عن الحزام. أغلق الغطاء الأمني.
HH_VerifySignatureLeadthru,قارن توقيع العميل بالتوقيع الظاهر على البطاقة.
HH_AssistedEndorsementLeadthru,الإقرار مطلوب. انتظر مساعدة المشغل.
HH_HostOfflineLeadthru,الممر مفصول. يحاول النظام إعادة الاتصال.
HH_KeyInCodeLeadthru,"اطبع رمز السلعة والمس ""إدخال""."
HH_VoidItemLeadthru,"امسح السلعة أو اعثر عليها على الوصل. ""ألغ السلعة"" أو ""إلغاء الكل""."
HH_UpdateItemLeadthru,"مرر إلى السلعة على الوصل والمس ""إدخال""."
HH_CouponNoMatchLeadthru,لا تطابق القسيمة أية سلعة على الوصل. لم يتم قبول القسيمة.
HH_CouponTooHighLeadthru,قيمة القسيمة مرتفعة أكثر مما ينبغي. لا يستطيع النظام قبولها.
HH_ItemQuantityExceededLeadthru,تم تجاوز الكمية المسموح بها. ضع السلعة جانبا وتابع.
HH_VoidNoMatchLeadthru,تعذر العثور على السلعة ممسوحة. لم يتم شراء السلعة أو تم إلغاؤها.
HH_ConfirmAbortLeadthru,هل تريد التوقف وإلغاء عملية الشراء بالكامل؟
HH_ContinueTransLeadthru,هل تريد متابعة عملية الشراء؟
HH_EnterQuantityLeadthru,"اطبع الكمية والمس ""إدخال""."
HH_SelectContainerLeadthru,"اختر الحاوية من القائمة والمس ""إدخال""."
HH_ScaleBrokenLeadthru,"أزل السلعة عن الميزان واضغط على زر ""تصفير الميزان"" على الماسحة الضوئية."
HH_UpdateNotAllowedLeadthru,تغيير الكمية غير مسموح.
HH_AM_RestrictedNotAllowedLeadthru,تم إلغاء السلعة الخاضعة للقيود - العمر غير مطابق للشروط. ضع السلعة جانبا.
HH_OutOfSyncNeedAssistLeadthru,"نقطة البيع غير متزامنة، ""وضعية المساعدة"" لإعادة مزامنتها."
HH_OutOfSyncStopLeadthru,خادم نقطة البيع معطل أو غير متزامن، نرجو إيقاف تشغيل الجهاز باستخدام المحول.
HH_MultiPackItemLeadthru,"إذا كان الغلاف متعدد، ""وضعية المساعدة""، إلغاء، ثم مسح باركود الغلاف المتعدد."
HH_ReturnToShoppingButtonText,العودة
DoneButtonText,انتهى
ConfirmSuspendFromLaneStatusLeadthruText,تأكيد التعليق أو إلغاؤه.
HH_SuspendTransactionButtonText,تعليق العملية
HH_TransactionCancelTitle,إلغاء العملية
HH_TransactionCancelLeadThru,تم إلغاء العملية. أزل السلع عن منضدة الفحص.
ShiftButtonText,تحول
FixLaterButtonText,إصلاح لاحقا
HopperLaneButtonText,استبدال العملة المعدنية
HopperLeadThru,"%s اذهب إلى الممر وأعد ملء العملات المعدنية أو أزل الانسداد أو المس ""إصلاح لاحقا"" للمتابعة."
TransactionCountText,التعداد:
SecurityDisableText,تعطيل الأمن
SecurityDisableButtonOn,تشغيل
SecurityDisableButtonOff,توقيف تشغيل
SecurityDisableStatusTextOn,أمن التعبئة في الأكياس يعمل
SecurityDisableStatusTextOff,أمن التعبئة في الأكياس معطل
SuspendDeclinedLaneButtonText,تم رفض التعليق
