AmountSaved,节省金额
ApproveAndCollectButtonText,批准 & 收藏
ClearApprovalsButtonText,清除批准
BirthDateOver30ButtonText,出生日期超过30
SignAgainButtonText,再次登录
BackSpaceButtonText,退格
EnterButtonText,输入
LaneNumberText,Lane: %d
RAPTitle,NCR公司SelfServ Checkout\n远端批准台
CancelSuspendText,取消暂停
OtherPaymentSelectedText,选择其它付款方式
CouponCollectionText,优惠券收集
PendingSuspendText,待暂停
SignatureApprovalText,签名批准
LaneText,结帐通道
VideoButtonText,视频
ClearButtonText,清除
QuantityButtonText,数量
FeesAndCustomerAgreementsTitle,收费 && 顾客协议：
FeesButtonText,收费
CustomerAgreementButtonText,顾客协议
FeesAndCustomerAgreementsLeadthru,收费 & 顾客协议
TransactionSuspendedText,交易暂停
POSMessageText,收款机讯息：
ConnectingWaitingText,请稍候，正在连接NCR SelfServ Checkout...
DateOfBirthNotNeededButtonText,无需日期
AssistModeButtonText,协助模式
ClearSecurityButtonText,清除安全
VisualApproveButtonText,肉眼审批
CheckAgeTitle,检查顾客年龄
CouponLimitExceededTitle,超过优惠券限制
VerifyItemAndPriceTitle,检查商品及价格
UnknownItemTitle,把未知商品放到一旁
ItemNotForSaleTitle,该商品不出售
ItemQuantityExceededTitle,超出商品数量
TimeRestrictedItemTitle,有时间限制的商品
CheckAgeLeadthru,请输入出生日期%s或输入“输入”。
InvalidBirthDateFormatLeadthru,输入日期的格式无效。\n请以%s格式再次输入。
CouponLimitExceededLeadthru,触摸“批准”按钮，让优惠券存入购物通道或触摸“批准 & 收集”，来收集顾客的优惠券。
VisualApproveLeadthru,触摸“肉眼审批”或触摸“协助模式”以修改交易。
UnknownItemLeadthru,收集购物通道的商品并触摸“清除安全”按钮，或触摸“协助模式”来完成交易。
ItemNotForSaleLeadthru,收集购物通道的商品并触摸“清除安全”按钮
OffLineLaneButtonText,脱机
ExitText,退出
EnterDataLaneButtonText,输入数据
AgeCheckLaneButtonText,年龄检查
CouponLaneButtonText,优惠券
VoidLaneButtonText,无效
VerifyItemLaneButtonText,检查商品
NotFoundLaneButtonText,未找到
NoSaleLaneButtonText,不销售
QuantityLaneButtonText,数量
HelpLaneButtonText,协助
NoInterventionLeadthru,目前不需要干预。
OffLineLeadthru,该购物通道目前脱机，系统会自动尝试重新连接。
CancelRequestButtonText,取消请求
HelpRequestTitle,请求协助
SecurityLaneButtonText,安全
VoidLeadthru,选取剔除的商品并触摸“批准剔除”按钮。
ApproveVoidButtonText,批准无效
SecurityLeadthru,监督客户交易，以保证交易安全性，然后触摸“清除安全”。
SecurityViolationText,安全违规
OtherPaymentText,已选定“其它支付方式”
SuspendTransactionLeadthru,触摸“暂停交易”以接受付款。
EASText,EAS商品仍然有效
DeactivateLeadthru,解除商品，或取下硬标牌并触摸“清除安全”按钮。
CompareSignatureTitle,对比签名
CompareSignatureLeadthru,对比签名，然后触摸“批准”或“再次签名”按钮。
EnterPriceLeadthru,输入商品价格并触摸“输入”按钮。
UtilityButtonText,实用工具
ReturnToMainButtonText,返回主屏幕
GetDiagFilesButtonText,获取诊断文件
CouponApprovalLeadthru,在批准台接受顾客的优惠券并触摸“批准”按钮。
RebootSystemButtonText,重新启动整个系统
ShutDownSystemButtonText,关闭整个系统
LaneStatusTitle,结帐通道状态
LaneStatusLeadthru,选择功能
AgeRestrictedText,有年龄限制的商品；%2d岁
BirthdateEnterText,"输入的出生日期：%2d/%2d/%4d,%d岁"
HelpRequestLeadthru,帮助完顾客后请触摸“取消请求”。
TotalText,总计：
ItemText,商品：
MultimediaTrainingText,多媒体培训
VolumeControlButtonText,音量控制
SecurityViolationNumText,违法安全的行为：
ItemPurchasedText,购买的商品：
EnterPriceTitle,价格输入项
CancelTransactionGenericTitle,取消交易
CancelTransactionGenericLeadthru,取消交易，请触摸“是”；恢复交易，请触摸“否”。
YesButtonText,是
NoButtonText,否
ConfirmSuspendTitle,暂停：
ConfirmSuspendLeadthru,确认暂停。
ConfirmSuspendButtonText,确认暂停
IncorrectItemWeightTitle,根据安全秤的称量，商品重量不正确。
IncorrectItemWeightLeadthru,移开商品并触摸“清除安全”，或触摸“批准并更新重量”
ApproveUpdateButtonText,批准 & 更新重量
UnexpectedIncreaseTitle,安全秤上有意外商品。
UnexpectedIncreaseLeadthru,转到结帐通道，移开多余商品并触摸“清除安全”按钮。
SkipBaggingBtnThresholdLeadthru,检查结帐通道商品并触摸“清除安全”按钮。
NewWeightItemTitle,无商品重量记录。
NewWeightItemLeadthru,验证商品重量并触摸“批准 & 更新重量”按钮，或触摸“批准/不更新”按钮。
ApproveNoUpdateButtonText,批准/不更新
BagItemTimerExpiredTitle,安全秤上的预计重量
TakeChangeTimerExpiredTitle,接受更改
TakeChangeTimerExpiredBottomCaption,计时器超时
PickingUpItemsTimerExpiredTitle,商品未返还到装袋台。
DeviceFailureTitle,设备故障
DeviceFailureLeadthru,前往结帐通道并检查设备。
WLDBFailureTitle,WLDB通讯不正确。
WLDBFailureLeadthru,检查通讯。
UnexpectedDecreaseTitle,已移开装袋台上商品。
ClosedLaneTitle,前往结帐通道，并登录到商店模式，然后打开该结帐通道。
ClosedLaneLeadthru,结帐通道已关闭
BagAreaBackupTitle,在传送带上堆积的商品
BagAreaBackupLeadthru,清除传送带上堆积的商品。
MinimumAgeText,最小年龄。
SafetyCoverOpenLeadthru,移开传送带上的所有商品并关闭安全盖。
VerifySignatureLeadthru,把顾客签名与其卡上的签名做比较。
AssistedTenderTitle,店员协助的偿付
AssistedTenderLeadthru,使用协助模式以接受顾客支票。
AssistedTenderHHLeadthru,使用服务台来接受付款。
AssistedEndorsementLeadthru,需要背书。请等待店员的协助。
StartTransactionButtonText,开始交易
StartTransactionTitle,店员提供的协助
StartTransactionLeadthru,选择所需功能。
StartTransactionAMButtonText,开始及协助
ItemsForgottenTitle,有剩余重量\无袋的秤
InsertCouponTimerExpiredTitle,插入优惠券
CollectGiftCardTitle,收集礼品卡
HostOfflineLeadthru,该结帐通道脱机，系统正尝试重新连接。
SpaceButtonText,空间
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\t数量 %s @ %s/每件h\t%s
LaneReceiptItemType4,%s\t%s\t数量 %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,关闭结帐通道
ReportingButtonText,报告
KeyInCodeTitle,输入代码
KeyInCodeLeadthru,输入商品代码并触摸“OK”按钮。
VoidItemButtonText,剔除的商品
ChangePriceButtonText,物价变动
ChangeQuantityButtonText,数量变动
ReturnToShoppingButtonText,返回到购物模式
BasicAssistModeTitle,协助功能
BasicAssistModeLeadthru,扫描商品，或选择功能。
ChangePriceTitle,价格变动
KeyInPriceLeadthru,为%d %s输入价格
VoidAllButtonText,剔除所有商品
VoidItemTitle,剔除商品
VoidItemLeadthru,扫描商品或选择收据上的商品，然后触摸“取消商品”或“取消全部”
ChangeQuantityTitle,更改数量
KeyInQuantityLeadthru,输入数量：%s
FullAssistButtonText,充分协助
CloseButtonText,关闭
UpdateItemLeadthru,滚动到收据上的商品，然后触摸“输入”按钮。
OKButtonText,确定
CouponNoMatchLeadthru,优惠券不符合收据上的任何商品。无法接受此优惠券。
CouponTooHighLeadthru,您为此优惠券输入的金额太高。本系统无法接受此优惠券。
EnterCouponValueLeadthru,以分输入优惠券的价值，然后触摸“输入”按钮。
ItemQuantityExceededLeadthru,您已超出了此商品的限量。请把该商品放到一旁，然后继续。
ProcessingLeadthru,正在处理...请稍候。
VoidNoMatchLeadthru,找不到被扫描的商品。您尚未购买该商品，或已取消了该商品。
ConfirmAbortLeadthru,您想停止结帐并完全取消此次购物吗？
ContinueTransLeadthru,您是否要继续购物？
ConfirmQuantityTitle,确认数量
ConfirmVoidTitle,确认取消
CouponNoMatchTitle,优惠券不符
CouponTooHighTitle,优惠券金额太高
CrateableItemTitle,采购木箱
EnterCouponValueTitle,输入优惠券金额
EnterQuantityLeadthru,输入数量并触摸“输入”按钮。
EnterWeightTitle,称重商品
EnterWeightLeadthru,前往结帐通道并把商品放到秤盘上。
AMItemQuantityExceededTitle,数量限制
ProcessingTitle,正在处理...
SelectContainerTitle,选择容器
SelectContainerLeadthru,从清单上选择容器并触摸“输入”按钮。
VoidNoMatchTitle,无法取消商品
ConfirmAbortTitle,取消所有商品
ContinueTransTitle,继续吗？
ScaleBrokenTitle,秤盘清零
ScaleBrokenLeadthru,从秤盘上取走商品，然后按扫描仪上的“秤盘清零”按钮。
UpdateNotAllowedTitle,无法更新商品
UpdateNotAllowedLeadthru,不允许更改被称重商品的数量。
SmEnterBirthdateTitle,限售商品
SmEnterBirthdateLeadthru,输入顾客的出生日期
SmVisualItemsTitle,肉眼检查
SmVisualItemsLeadthru,批准肉眼检查的商品
SmCouponItemsTitle,批准使用过的优惠券
SmCouponItemsLeadthru,检查使用过得优惠券
SmRestrictedItemsTitle,限售商品
SmRestrictedItemsLeadthru,选择所需功能。
KeyInBirthDateButtonText,输入日期
KeyInCodeButtonText,输入\n码
SmRunReportsTitle,报告内容
PrintReportButtonText,打印报告
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,限售商品
AM_RestrictedNotAllowedLeadthru,限售商品已被取消，不符合年龄规定。\n\n请把商品放到一旁。
TransactionCancelTitle,交易取消
TransactionCancelLeadThru,交易取消。请从此收银台移走\n该商品。
OutOfSyncNeedAssistTitle,协助
OutOfSyncNeedAssistLeadthru,收款机失去同步，请转到协助模式进行再同步。
OutOfSyncStopTitle,重新启动
OutOfSyncStopLeadthru,收款机服务器已停机或失去同步，请用开关关闭终端。
MultiPackItemTitle,检查一包多件的商品
MultiPackItemLeadthru,若是一包多件的商品，请触摸“协助模式”并剔除该商品，然后扫描一包多件商品的条形码。
CancelActionButtonText,取消行动
EnterIDFpLeadthru,请输入您的用户名，然后按“输入”按钮，或把手指放到指纹识别器上登录。
ReEnterIDFpLeadthru,登录无效。 请使用键盘或指纹重新登录。
HH_SuspendLeadthru1,暂停当前交易吗？确认或取消。
HH_SuspendLeadthru2,已暂停当前交易。请确认。若要取消，请触摸“返回”然后取消。
HH_ReEnterIDLeadthru,身份代码或密码不正确。请用键盘重新输入。
HH_CheckAgeLeadthru,请输入出生日期%s并触摸“输入”。
HH_CouponLimitExceededLeadthru,批准结帐通道上的优惠券，请按“批准”，批准并收集该优惠券，请按“批准并收集”按钮。
HH_VisualApproveLeadthru,修改交易，请按“肉眼审批”或“协助模式”按钮。
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,收集商品，请按“清除安全”或“协助模式”来完成。
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,收集结帐通道的商品，然后按“清除安全”按钮。
HH_NoInterventionLeadthru,不需要干预。
HH_OffLineLeadthru,结帐通道脱机。系统正在尝试重新连接。
HH_InvalidBirthDateFormatLeadthru,日期格式无效\n请以%s格式输入日期。
HH_VoidLeadthru,收集被剔除商品并按“批准剔除”按钮。
HH_SuspendTransactionLeadthru,暂停交易，请触摸“暂停交易”按钮。
HH_DeactivateLeadthru,请停用商品，或取下硬标牌并按“清除安全”按钮。
HH_CompareSignatureLeadthru,对比签名，然后按“批准”或“再次签名”按钮。
HH_EnterPriceLeadthru,输入商品的价格并按“输入”按钮。
HH_CouponApprovalLeadthru,接受顾客的优惠券并按“批准”按钮。
HH_HelpRequestLeadthru,协助完顾客后，请按“取消请求”按钮。
HH_CancelTransactionGenericLeadthru,取消交易，请按“是”按钮，继续交易请按“否”按钮。
HH_IncorrectItemWeightLeadthru,移开商品并按“清除安全”按钮，或按“批准并更新重量”按钮。
HH_UnexpectedIncreaseLeadthru,移开结帐通道多余的商品，然后按“清除安全”按钮。
HH_SkipBaggingBtnThresholdLeadthru,检查结帐通道的商品，然后按“清除安全”按钮。
HH_NewWeightItemLeadthru,验证重量并按“批准并更新重量”或“批准/不更新”按钮。
HH_SafetyCoverOpenLeadthru,移开传送带上的所有商品。关闭安全门。
HH_VerifySignatureLeadthru,把顾客的签名与卡上签名做对比。
HH_AssistedEndorsementLeadthru,需要背书。请等待店员协助。
HH_HostOfflineLeadthru,结帐通道脱机。系统正在尝试重新连接。
HH_KeyInCodeLeadthru,输入商品代码，然后按“输入”按钮。
HH_VoidItemLeadthru,扫描或滚动到收据上的商品，按“剔除商品”或“剔除全部”按钮。
HH_UpdateItemLeadthru,滚动到收据上的商品，然后按“输入”按钮。
HH_CouponNoMatchLeadthru,优惠券不符合收据上的任何商品，因此无法被接受。
HH_CouponTooHighLeadthru,优惠券金额过高。系统不能接受。
HH_ItemQuantityExceededLeadthru,超出允许数量。请把商品放在一旁，然后继续。
HH_VoidNoMatchLeadthru,找不到扫描的商品。商品未被购买或已被取消。
HH_ConfirmAbortLeadthru,是否停止结帐并取消整个购物？
HH_ContinueTransLeadthru,要继续购物吗？
HH_EnterQuantityLeadthru,输入数量，然后按“输入”按钮。
HH_SelectContainerLeadthru,从清单上选择容器，然后按“输入”按钮。
HH_ScaleBrokenLeadthru,从秤上移开商品，然后按扫描器上的“秤盘清零”按钮。
HH_UpdateNotAllowedLeadthru,不允许更改数量。
HH_AM_RestrictedNotAllowedLeadthru,取消限售商品 – 不符合年龄要求。\n\n请把商品放到一旁。
HH_OutOfSyncNeedAssistLeadthru,收款机失去同步，请按“协助模式”来同步。
HH_OutOfSyncStopLeadthru,收款机服务器关闭或失去同步，请用开关关断终端。
HH_MultiPackItemLeadthru,若商品是一包多件商品，请按“协助模式”剔除，然后扫描该一包多件商品的条码。
HH_ReturnToShoppingButtonText,返回
DoneButtonText,完成
ConfirmSuspendFromLaneStatusLeadthruText,确定或取消暂停
HH_SuspendTransactionButtonText,暂停交易
HH_TransactionCancelTitle,交易取消
HH_TransactionCancelLeadThru,交易取消。请从此收银台移走该商品。
ShiftButtonText,Shift键
FixLaterButtonText,稍后修复
HopperLaneButtonText,硬币替换
HopperLeadThru,%s前往结帐通道，并填充硬币或清除堵塞或触摸“稍后修复”按钮以继续。
TransactionCountText,计数:
SecurityDisableText,禁用安全
SecurityDisableButtonOn,打开
SecurityDisableButtonOff,关闭
SecurityDisableStatusTextOn,装袋验证台处于启用状态
SecurityDisableStatusTextOff,装袋验证台处于禁用状态
SuspendDeclinedLaneButtonText,拒绝暂停
ConfirmSuspendDeclinedLeadthru,确认或取消 拒绝暂停
ConfirmSuspendDeclinedButtonText,确认拒绝
CancelSuspendDeclinedButtonText,返回
TMTransLeadthru,结帐终端处于培训模式，\n继续交易吗？
HH_TMTransLeadthru,结帐终端处于培训模式，\n继续交易吗？
TMTransLaneButtonText,培训交易
DateFormat1,(mmddyyyy)
DateFormat2,(mmddyy)
DateFormat3,(ddmmyyyy)
DateFormat4,(ddmmyy)
DateFormat5,(yyyymmdd)
DateFormat6,(yymmdd)
GoBackCouponButtonText,返回
ApproveCouponButtonText,批准优惠券
CouponExceededLimitLeadthru,按“批准优惠券”按钮以接受优惠券，或进入协助模式使其无效。
CouponExceededLimitFinalizationLeadthru,该交易的完成使用了超过本商店限制的优惠券。
ClearSecurityFinalizationButtonText,清除安全
ExpandReceiptButtonText,展开收据
CollapseReceiptButtonText,折叠收据
InvalidBarcodeLeadThru,"收集购物通道的商品，然后触摸""批准""按钮继续交易。"
InvalidBarcodeLaneButtonText,检查商品
HH_InvalidBarcodeLeadThru,"收集商品，触摸""批准""按钮继续交易。"
GoToLaneOrHHRapLeadthru, Please go to Lane or HHRap for approval
GoToLaneOrRapLeadthru, Please go to Lane or Rap for approval
GoToLaneLeadthru, 请前往结帐通道进行审批
DisableRapApprovalText, 禁用RAP远程审批
DisableHHRapApprovalText, 禁用HHRAP手持设备远程审批
UpdateItemButtonText,更新商品
SuspendConfirmationTitle,暂停确认
DoNotApproveButtonText,不批准
SmVoidAndRemoveItemLeadthru,请把商品从装袋台移开。
RestrictedItemsNotApprovedTitle,限制类商品 - 不批准
HH_AssistAtLaneLeadthru,转到结帐通道废除该商品。
XM_Acceptor,收受机
XM_CashStatus,现金状况
XM_CashStatusLeadthru,选择所需功能
XM_CoinAcceptor,硬币收受机
XM_CoinOverflow,硬币溢出
XM_CoinOverflowText,溢出
XM_CoinRecycler,硬币收款找零机
XM_Coins,硬币
XM_NoteOverflow,纸币溢出
XM_NoteOverflowText,溢出
XM_NoteRecycler,纸币收受找赎机
XM_Notes,纸币
XM_PurgeOperationText,清除操作
XM_TerminalNumber,终端编号
XM_TotalCount,总计数：
XM_TotalValue,总金额：
XM_CoinsSubtotal,硬币小计：
XM_NotesSubtotal,纸币小计：
XM_GrandTotal,总计：
XM_PurgeInstruction,清除操作：发现被拒收的纸币后，请从钱箱移开被拒收的纸币。 请到结帐通道检查设备。
XM_RAP_NegativeAlert,发现负数。 请到结帐通道检查设备。
XM_AreYouSure,确定要执行下列操作吗？
XM_Attendant,店员
XM_Backspace,退格
XM_BillAcceptor,纸币收受机
XM_BillDispenser,纸币找赎机
XM_Bins,箱
XM_BothDispenseFailure,未能找赎%s。\n现金不足或找赎机出错。
XM_CancelChanges,取消更改
XM_CannotCompleteTransfer,无法完成转入。钱箱无足够空间。请清空钱箱后执行此操作。
XM_CashManagement,现金管理
XM_CashManagementReport,现金管理报告
XM_CashRemove,移开现金
XM_CashRemoveLeadthru,选择所需功能
XM_CashReplenishLeadthru,选择所需功能
XM_CashReplenishLeadthru1,请放入硬币或选择所需功能
XM_CashReplenishLeadthru2,请放入现金或选择所需功能。
XM_CashReplenishLeadthru3,"完成后触摸""退出""。"
XM_CashReplenishment,补充现金
XM_ChangeInCount,计数变更
XM_ChangeInValue,金额变更
XM_Clear,清除
XM_ClearPrompt1,完成后请选择其它功能或按“退出”按钮 。
XM_ClearPrompt2,选择其它功能或按“退出”按钮。
XM_CoinAcceptorOffline,收受机无响应。\n\n请关掉终端然后重新启动。
XM_CoinDispenseFailure,未能找赎%s。\n现金不足或找赎机出错。
XM_CoinDispenser,硬币找赎机
XM_CoinManagement,硬币管理
XM_ConfirmAction,确认操作
XM_ConfirmCoinDispense,* 找赎硬币\n找赎金额： %s\n找赎数目： %d
XM_ConfirmEmptyCoinAcceptor,* 投币计数归零\n需要清除的金额： %s
XM_ConfirmEmptyCoinOverflow,* 把硬币溢出计数归零\n删除： %s
XM_ConfirmEmptyNoteAcceptor,* 把纸币收受器计数归零\n需要清除的金额： %s
XM_ConfirmEmptyNoteOverflow,* 把钱箱计数归零\需要清除的金额： %s
XM_ConfirmFillLoaderCassette,* 设定纸币计数\n新金额： %s\n新计数： %d
XM_ConfirmManualCoinEmpty,* 硬币计数归零\n需要清除的金额： %s\n需要清除的计数： %d
XM_ConfirmManualCoinFill,* 设定硬币计数\n新金额： %s\n新计数： %d
XM_ConfirmManualNoteEmpty,* 把纸币计数归零\n需要清除的金额： %s\n需要清除的计数： %d
XM_ConfirmManualNoteFill,* 设定纸币计数\n新金额： %s\n新计数： %d
XM_ConfirmNoteDispense,* 找赎纸币\n需要找赎的金额： %s\n需要找赎的数量： %d
XM_ConfirmTransferNotesToOverflow,* 把纸币转移到钱箱\n转移金额： %s\n转移数量： %d
XM_Count,计数
XM_DispenseCupFull,硬币找赎口已堆满硬币。请移开硬币以完成找赎。
XM_DispenseCupFullPreemptive,请拿好找赎的零钱\n若硬币找赎口已满，请迅速清空。系统将暂停找赎直至找赎口被清空。
XM_DispenseFullPreemptive,请取走纸币与硬币\n纸币按捆找赎，每捆15张纸币。 将暂停找赎，直到所有纸币被取走。 若退币槽已满，请立即清空。 退币槽被清空之前，找赎将暂停。
XM_DispenseNoteFullPreemptive,请取走纸币\n纸币按捆找赎，每捆15张纸币。 将暂停找赎，直到所有纸币被取走。
XM_DispenseSensorBlock,硬币找赎口可能已堆满硬币或传感器损坏。请移开硬币或联系维修。
XM_DispenseText,找赎
XM_DispenseThreshold,输入的数值超过了找赎可用的计数，因此系统为您输入了最大计数：%d
XM_Empty,空的
XM_EmptyCashAcceptorLT,移开现金收受机中的纸币
XM_EmptyCashBoxLT,移开钱箱中的纸币
XM_EmptyCoinAcceptor,重置硬币\n收受机
XM_EmptyCoinAcceptorLT,移开硬币收受机中的硬币
XM_EmptyCoinHopperLT,从设备中取出硬币。
XM_EmptyCoinOverflow,重置硬币溢出
XM_EmptyCoinOverflowLT,移开溢出的硬币
XM_EmptyLoaderCassetteLT,移开装载机机盒中的纸币
XM_EmptyNoteAcceptor,重置纸币\n收受机
XM_EmptyNoteCassetteLT,移开纸币盒中的纸币
XM_EmptyNoteOverflow,重置纸币溢出
XM_Enter,输入
